,comment,Labeling,clean_text
1,Harris Sarah Moore Maria Lopez John,netral,harris sarah moore maria lopez john
2,Good Product for Suzuki Mobil ....Saya penggiat mobil Suzuki...,positif,good product for suzuki mobil saya penggiat mobil suzuki
3,"Eksterior & interiornya keren banget....sangat futuristik,mudah2an tersedia warna ini juga,jangan item putih doang di produksi massal",positif,eksterior  interiornya keren bangetsangat futuristikmudah2an tersedia warna ini jugajangan item putih doang di produksi massal
4,Mobil konsep = php,negatif,mobil konsep  php
5,Kabarnya tahun depan Suzuki bakal luncurin mobil baru & di rakit di indo secara CKD!! Apakah ini?😮,netral,kabarnya tahun depan suzuki bakal luncurin mobil baru  di rakit di indo secara ckd apakah ini
6,Nanti udh jadi harganya di mark up sama salesnya jangan arepin yang banyak dari suzuki,negatif,nanti udh jadi harganya di mark up sama salesnya jangan arepin yang banyak dari suzuki
7,"Kedepannya pasti
CBU Suzuki Maruti INDIA
😂😂😂",negatif,kedepannya pasticbu suzuki maruti india
8,Mantaap otodriver,positif,mantaap otodriver
9,Keren,positif,keren
10,Review fronx bang,netral,review fronx bang
11,dan tidak untuk pasar Indonesia. wkwkwk,netral,dan tidak untuk pasar indonesia wkwkwk
12,"saya berikan apresiasi kepada mas adit, cara dan gaya menyampaikannya makin luwes, jelas, tidak ""serupa"" gaya mas fitra eri (atau itu memang templet di otodriver ya?🤔) lanjutkan dan jadi diri sendiri👍👍",positif,saya berikan apresiasi kepada mas adit cara dan gaya menyampaikannya makin luwes jelas tidak serupa gaya mas fitra eri atau itu memang templet di otodriver ya lanjutkan dan jadi diri sendiri
13,Berharap Fronx masuk,positif,berharap fronx masuk
14,Hybrid Suzuki aja masih yang jadi-jadian apalagi yang full ev? 11-12 sama Daihatsu yang doyan bikin concept doang 😂😂😂,negatif,hybrid suzuki aja masih yang jadijadian apalagi yang full ev 1112 sama daihatsu yang doyan bikin concept doang 
15,Mirip Mtsu XForce,netral,mirip mtsu xforce
16,"Kirain mau launching fronx, malah cma pamer mobil konsep 😅",negatif,kirain mau launching fronx malah cma pamer mobil konsep 
17,Nunggu Jimny EV 😅,netral,nunggu jimny ev 
18,produsen Jepang sepertinya kesulitan dalam hal batre,negatif,produsen jepang sepertinya kesulitan dalam hal batre
19,Rasanya gapercaya suzuki bisa design begini😂,negatif,rasanya gapercaya suzuki bisa design begini
20,Mirip XForce,netral,mirip xforce
21,Nah iya 😢 berharap Fronx yang pake mesin K15C masuk,positif,nah iya  berharap fronx yang pake mesin k15c masuk
22,Martin Frank Perez Robert Allen Lisa,netral,martin frank perez robert allen lisa
23,Lopez Steven Gonzalez Amy White Charles,netral,lopez steven gonzalez amy white charles
24,Brown Betty Brown Karen Hernandez Frank,netral,brown betty brown karen hernandez frank
25,Williams Carol Lewis Patricia Walker Ruth,netral,williams carol lewis patricia walker ruth
26,Martinez Sharon Lopez Jason Moore Jason,netral,martinez sharon lopez jason moore jason
27,Lewis Steven Rodriguez Daniel Williams Frank,netral,lewis steven rodriguez daniel williams frank
28,Walker Paul Davis Sharon Johnson Jose,negatif,walker paul davis sharon johnson jose
29,Harris Charles Clark Sarah Wilson Barbara,negatif,harris charles clark sarah wilson barbara
30,yg dijual di indo palingan disain india 😁,negatif,yg dijual di indo palingan disain india 
31,Produk India Hillsat 😂,negatif,produk india hillsat 
32,"Suzuki EV is the best candidat and cheapest EV in the world, especially LCGC EV version......is the best choice....",positif,suzuki ev is the best candidat and cheapest ev in the world especially lcgc ev versionis the best choice
33,"Kalau masuk Indonesia paling mau ngikut yg di jepang asli pasti mahal minta ampun.. 😂😂 nggak akan bisa bersaing sama brand china.. kalau, pajak barang mewah indo kagak ngotak.. 
Jadi jangan terlalu tinggi ekspetasinya kalau masih concept..",negatif,kalau masuk indonesia paling mau ngikut yg di jepang asli pasti mahal minta ampun  nggak akan bisa bersaing sama brand china kalau pajak barang mewah indo kagak ngotak jadi jangan terlalu tinggi ekspetasinya kalau masih concept
34,"Come On Suzuki, Merk2 lain udh pada jual mobil listrik,  ini kok masi konsep???😁😁😁",negatif,come on suzuki merk2 lain udh pada jual mobil listrik  ini kok masi konsep
35,mirip ferrari purosangue,positif,mirip ferrari purosangue
36,Kayaknya desainer yg dulu udah di pecat 😂,netral,kayaknya desainer yg dulu udah di pecat 
37,"Ayo dong tanya harga jimny lagi, penasaran msh mark up harga jimny gak nih? 😅",netral,ayo dong tanya harga jimny lagi penasaran msh mark up harga jimny gak nih 
38,"TIMESTAMP
0:00 - 8:15 MOCHAMMAD ARIQ ATILLAH",netral,timestamp000  815 mochammad ariq atillah
39,"Cina tanpa byk konsep""an...langsung menggebrak pasar Indonesia dg model"" yg futuristik",positif,cina tanpa byk konsepanlangsung menggebrak pasar indonesia dg model yg futuristik
40,Keren bgt yak 😮,positif,keren bgt yak 
41,Konsep2 eh keluarnya 2 tahun kemudian dengan fitur disunat😂,negatif,konsep2 eh keluarnya 2 tahun kemudian dengan fitur disunat
42,"Suzuki eVX tampil keren banget di GIIAS, kira-kira bakal diterusin engga ya desainnya ke versi produksi?",positif,suzuki evx tampil keren banget di giias kirakira bakal diterusin engga ya desainnya ke versi produksi
43,"suzuki conpet seperti ini
real life nanti vrindavan
😂",negatif,suzuki conpet seperti inireal life nanti vrindavan
44,berawal dari hybrid langsung di surprize ada mobil full listrik ajaa wkwk,positif,berawal dari hybrid langsung di surprize ada mobil full listrik ajaa wkwk
45,"kalo gue punya mobil ini kyknya ngantuk mulu dah bawaannya, karna keliatannya nyaman bgt 🤣",positif,kalo gue punya mobil ini kyknya ngantuk mulu dah bawaannya karna keliatannya nyaman bgt 
46,"anjayy, galak bener nih si evx, desainnya oke, fitur2nya gak kalah saing.",positif,anjayy galak bener nih si evx desainnya oke fitur2nya gak kalah saing
47,Keren mantab👍👍,positif,keren mantab
48,Apik ya...,positif,apik ya
49,Semoga harga di bawah 500jt😅,positif,semoga harga di bawah 500jt
50,Suzuki kebiasaan goreng gorengan…udah banyak orang ilfil…😂😢,negatif,suzuki kebiasaan goreng gorenganudah banyak orang ilfil
51,นกมอบผใทห,netral,
52,"yang penting harga ""bersahabat"" buat customer....",positif,yang penting harga bersahabat buat customer
53,Suzuki Fronx laah masukin indo,netral,suzuki fronx laah masukin indo
54,Biasanya Harganya  suzuki suka bersahabat,positif,biasanya harganya  suzuki suka bersahabat
55,ini kalau konsep car nya udah jadi ini mau jadi lawannya siapa coba komen di bawah👇😊,netral,ini kalau konsep car nya udah jadi ini mau jadi lawannya siapa coba komen di bawah
56,Tumben X ini Disain SUZUKI sdh bagus biasa disain2 lain pada umumnya jelek2 😂😂,positif,tumben x ini disain suzuki sdh bagus biasa disain2 lain pada umumnya jelek2 
57,Coba nanti pas launching di indonesia bisa jadi 7 seater. Pasti laris manis banget laku terjual,positif,coba nanti pas launching di indonesia bisa jadi 7 seater pasti laris manis banget laku terjual
58,Ga salah harga lagi kan nanti 🤭,netral,ga salah harga lagi kan nanti 
59,Mantaapp nihh suzukiii....awass ada yg Jiplaakkkk merek sebelaahhh...hixixixixiiiii,positif,mantaapp nihh suzukiiiawass ada yg jiplaakkkk merek sebelaahhhhixixixixiiiii
60,"Ayo2 jangan lupa, apapun videonya koruptor komennya. 👌👍 Lanjutkan & tingkatkan ketifakpedulian akan konteks & relevansi",netral,ayo2 jangan lupa apapun videonya koruptor komennya  lanjutkan  tingkatkan ketifakpedulian akan konteks  relevansi
61,Untuk mobil EV tetap produk CHINA yg terdepan...😊😊😊,negatif,untuk mobil ev tetap produk china yg terdepan
62,"Gak mungkin bro, Sehebat-hebatnya produk Jepang itu selalu KALAH di Harga dengan mobil China. Mari kita BUKTIkan kalau gak prcaya",negatif,gak mungkin bro sehebathebatnya produk jepang itu selalu kalah di harga dengan mobil china mari kita buktikan kalau gak prcaya
63,"suzuki grand vitara EV sajalah, sy mau beli, gak usah neko neko,,",positif,suzuki grand vitara ev sajalah sy mau beli gak usah neko neko
64,susuki yamaha honda sudah kerjasama dengan cina bang😂,netral,susuki yamaha honda sudah kerjasama dengan cina bang
